Caisse du Mois
---------------------------------------------------------
Ouverture;Fermeture
01/11/2018 à 18:08;02/12/2018 à 13:36;

   Chiffre d'Affaires TTC;15437,70 €   
   Chiffre d'Affaires HT;13113,48 €   
   TVA Collecté;2324,22 €   
   Total Marge HT;13112,67 €   
   Total Marchandises HT;0,00 €   
   Coefficient moyen;0,00   

   Nombre de Tickets/Factures;1663   
   Nombre de produits vendus;2603   
   Ticket moyen TTC;9,28 €   
   Nombre moyen de produits / Ticket;1,6   

   Acomptes;0,00 €   
   Annulations;0,00 €   
   Avoirs;0,00 €   
   Remboursements;0,00 €   
   Remises;4,90 €   
   Versements clients;0,00 €   

Nom TVA;Taux TVA;Nb de Ventes;Montant;CATTC
TVA Vente 20%;20 %;1981;2026,31 €   ;12154,20 €   
TVA Vente 10%;10 %;622;297,91 €   ;3283,50 €   

Nom Règlement;Total Entrées;Total Sorties;Total;Nb Règlements
Carte Bancaire;8840,30 €;0,00 €;8840,30 €;787
Espèces;6597,40 €;0,00 €;6597,40 €;883
;;;;
;;;;

Statistiques Articles
---------------------------------------------------------
Nom Article;Quantité;Total TTC;Marge
-25;3,000;60,00;50,00
3 rivieres;1,000;7,00;5,83
Applaudissement;17,000;85,00;77,27
BAP BAP Vertigo;1,000;8,00;6,67
BapBap;2,000;14,00;11,67
Blanche des neige Demi;29,000;130,50;108,75
Blanche des neige Pinte HH;8,000;41,60;34,67
Blanche neige PINTE;45,000;315,00;262,50
Bol saucisson;16,000;64,00;53,33
Bordolino rosé VERRE;11,000;33,00;27,50
Cabaret;3,000;24,00;20,00
Cabaret HH;1,000;6,20;5,17
Cabotinage DEMI;192,000;672,00;560,01
Cabotinage HH;71,000;284,00;236,66
Cabotinage PINTE;384,000;2225,61;1854,66
Café;14,000;28,00;25,45
Charcuterie;12,000;156,00;141,82
Chateau Rouge;9,000;63,00;52,50
Chimay;8,000;60,00;50,00
Cidre DEMI;147,000;661,50;551,25
Cidre HH;23,000;119,60;99,67
Cidre PINTE;139,000;973,00;810,83
Cidre Val de Rance 33cl;16,000;80,00;66,67
Cidre Val de Rance 75cl;4,000;44,00;36,67
Cote de provence verre;6,000;36,00;30,00
Côte du Rhône;82,000;410,00;341,67
Côte du Rhone bouteille;2,000;50,00;41,67
Desperados;7,000;49,00;40,83
Drac;16,000;64,00;53,33
Eau Gazeuse/Plate;56,000;140,00;127,27
Echauffement;1,000;7,00;5,83
Féond;1,000;8,50;7,08
Festival;25,000;200,00;166,67
Festival HH;6,000;37,20;31,00
Friendly;1,000;25,00;20,83
Fromages;13,000;143,00;130,00
Gascogne;61,000;305,00;254,17
Gravel;25,000;125,00;113,64
Grimbergen;12,000;78,00;65,00
Hispanique;2,000;18,00;16,36
Hymne;16,000;96,00;80,00
Improvi'bar Alcool;7,000;57,00;47,50
improvibar alcool HH;12,000;80,40;67,00
Improvi'bar Soft;11,000;69,00;62,73
Jack Daniels;4,000;28,00;23,33
Jus Pomme;82,000;328,00;298,18
Jus pomme HH;5,000;15,00;13,64
kazoo métal;1,000;5,00;4,17
kazoo plastique;1,000;3,50;2,92
Kir;2,000;14,00;11,67
Kir breton;1,000;7,00;5,83
Lever de Rideau;6,000;48,00;40,00
Long Form;23,000;149,50;135,91
Long Form HH;12,000;66,00;60,00
Luberon;6,000;39,00;32,50
Madeleine;20,000;40,00;36,36
Madiran;43,000;279,50;232,92
Madiran bouteille;2,000;64,00;53,33
Martini;3,000;15,00;12,50
Master;2,000;16,00;13,33
Mini Char;2,000;16,00;14,55
Mini From;9,000;63,00;57,27
Mini Végan;4,000;28,00;25,45
Mixte;32,000;480,00;436,36
Mont d'or grand;2,000;44,00;40,00
Mont d'or petit;13,000;169,00;153,64
Oliphant;8,000;64,00;53,33
Oliphant DEMI;8,000;44,00;36,67
Oliphant PINTE;37,000;303,40;252,83
Pastis;4,000;24,00;20,00
Patinoire;24,000;192,00;160,00
Patinoire HH;7,000;43,40;36,17
Petrus;3,000;19,50;16,25
Pichet sangria;2,000;40,00;33,33
Pietra DEMI;56,000;364,00;303,34
Pietra HH;29,000;220,40;183,67
Pietra PINTE;98,000;921,20;767,66
Pineau des charentes;5,000;30,00;25,00
Poiré;4,000;26,00;21,67
Porto;6,000;24,00;20,00
Punch;1,000;42,00;35,00
Rhum Krakren;2,000;20,00;16,67
Rhum Zacapa;3,000;39,00;32,50
Sangria;14,000;96,09;80,07
Scène;38,000;209,00;190,00
Scene HH;7,000;31,50;28,64
Shot double 1;3,000;18,00;15,00
Shots 1;13,000;45,50;37,92
Shots 10;5,000;100,00;83,33
Shots 5;6,000;72,00;60,00
Sodas;96,000;384,00;349,09
Sodas HH;24,000;72,00;65,46
Sphinx;7,000;56,00;46,67
Spotlight;2,000;16,00;13,33
SpotLight HH;1,000;6,20;5,17
