Caisse du Mois
---------------------------------------------------------
Ouverture;Fermeture
02/12/2018 à 15:26;03/01/2019 à 21:01;

   Chiffre d'Affaires TTC;14291,30 €   
   Chiffre d'Affaires HT;12110,16 €   
   TVA Collecté;2181,14 €   
   Total Marge HT;12109,41 €   
   Total Marchandises HT;0,00 €   
   Coefficient moyen;0,00   

   Nombre de Tickets/Factures;1494   
   Nombre de produits vendus;2320   
   Ticket moyen TTC;9,57 €   
   Nombre moyen de produits / Ticket;1,6   

   Acomptes;0,00 €   
   Annulations;0,00 €   
   Avoirs;0,00 €   
   Remboursements;0,00 €   
   Remises;20,00 €   
   Versements clients;0,00 €   

Nom TVA;Taux TVA;Nb de Ventes;Montant;CATTC
TVA Vente 20%;20 %;1863;1940,90 €   ;11643,30 €   
TVA Vente 10%;10 %;457;240,24 €   ;2648,00 €   

Nom Règlement;Total Entrées;Total Sorties;Total;Nb Règlements
Espèces;5605,70 €;0,00 €;5605,70 €;740
Carte Bancaire;8685,60 €;0,00 €;8685,60 €;759
;;;;
;;;;

Statistiques Articles
---------------------------------------------------------
Nom Article;Quantité;Total TTC;Marge
-25;3,000;60,00;50,00
Absinthe;1,000;6,00;5,00
Applaudissement;24,000;120,00;109,09
BapBap;5,000;35,00;29,17
Blanche des neige Demi;44,000;198,00;165,00
Blanche des neige Pinte HH;8,000;41,60;34,67
Blanche neige PINTE;66,000;462,00;385,00
Bol saucisson;19,000;76,00;63,33
Bombay Sapphir;3,000;19,50;16,25
Cabaret;1,000;8,00;6,67
Cabotinage DEMI;162,000;567,00;472,51
Cabotinage HH;50,000;200,00;166,67
Cabotinage PINTE;378,000;2192,40;1826,99
champagne bouteille;2,000;80,00;66,67
Champagne coupe;10,000;90,00;75,00
Champagne HH;22,000;99,00;82,50
Charcuterie;7,000;91,00;82,73
Chateau Rouge;5,000;35,00;29,17
Chimay;4,000;30,00;25,00
Cidre DEMI;105,000;472,50;393,75
Cidre HH;15,000;78,00;65,00
Cidre PINTE;88,000;616,00;513,33
Cidre Val de Rance 33cl;41,000;205,00;170,83
Cote de provence verre;3,000;18,00;15,00
Côte du Rhône;33,000;165,00;137,50
Desperados;18,000;126,00;105,00
Drac;10,000;40,00;33,33
Eau Gazeuse/Plate;43,000;107,50;97,73
Féond;2,000;17,00;14,17
Festival;26,000;208,00;173,33
Festival HH;4,000;24,80;20,67
Fromages;13,000;143,00;130,00
Gascogne;88,000;440,00;366,67
Gascogne bouteille;1,000;25,00;20,83
Gravel;18,000;90,00;81,82
Hymne;9,000;54,00;45,00
Improvi'bar Alcool;4,000;32,00;26,67
Jack Daniels;9,000;63,00;52,50
Jus Pomme;63,000;252,00;229,09
Jus pomme HH;5,000;15,00;13,64
kazoo métal;2,000;10,00;8,33
kazoo plastique;2,000;7,00;5,83
Kir;8,000;56,00;46,67
Lever de Rideau;7,000;56,00;46,67
Long Form;12,000;78,00;70,91
Long Form HH;2,000;11,00;10,00
Luberon;29,000;188,50;157,08
Luberon bouteille;4,000;128,00;106,67
Madeleine;10,000;20,00;18,18
Madiran;40,000;260,00;216,67
Madiran bouteille;1,000;32,00;26,67
Martini;4,000;20,00;16,67
Master;2,000;16,00;13,33
Mini Char;5,000;40,00;36,36
Mini From;11,000;77,00;70,00
Mini Végan;11,000;77,00;70,00
Mixte;35,000;525,00;477,27
Monaco;4,000;23,00;19,17
Mont d'or grand;2,000;44,00;40,00
Mont d'or petit;12,000;156,00;141,82
Oliphant;4,000;32,00;26,67
Pastis;2,000;12,00;10,00
Patinoire;19,000;152,00;126,67
Patinoire HH;1,000;6,20;5,17
Petrus;10,000;65,00;54,17
Pietra DEMI;51,000;331,50;276,25
Pietra HH;16,000;121,60;101,33
Pietra PINTE;109,000;1024,60;853,83
Pineau des charentes;6,000;36,00;30,00
Plancha;1,000;35,00;29,17
Poiré;13,000;84,50;70,42
Porto;5,000;20,00;16,67
Rhum Black Magic;7,000;70,00;58,33
Rhum Krakren;5,000;50,00;41,67
Rhum Zacapa;1,000;13,00;10,83
Scène;22,000;121,00;110,00
Scene HH;4,000;18,00;16,36
Shot double 1;3,000;18,00;15,00
Shots 1;26,000;91,00;75,83
Shots 10;4,000;80,00;66,67
Shots 5;7,000;84,00;70,00
Sodas;72,000;288,00;261,82
Sodas HH;10,000;30,00;27,27
Sup. Sirop;27,000;13,50;12,27
Telenn Du;2,000;15,00;12,50
Thé;26,000;78,00;70,91
Thème Alcool;1,000;9,50;7,92
Végan;23,000;253,00;230,00
Velouté;9,000;58,50;48,75
Vertigo demi;46,000;253,00;210,83
Vertigo HH;21,000;134,40;112,00
Vertigo Pinte;141,000;1156,20;963,50
Whisky Akashi;2,000;20,00;16,67
Whisky R.Burns;9,000;90,00;75,00

Statistiques Familles
---------------------------------------------------------
Nom Famille;Qté Articles;Total TTC;Marge
Alcool Fort;48,000;383,50;319,58
Bières bouteille;104,000;644,50;537,08
Bières pression;1190,000;7273,20;6060,98
Boisson chaudes;59,000;252,00;225,00
Cocktails;146,000;1032,50;875,50
en cas;10,000;20,00;18,18
happy hour;158,000;779,60;655,27
OFFRES;3,000;60,00;50,00
Planches;148,000;1575,50;1419,43
Softs;223,000;751,00;682,73
Vins;227,000;1502,50;1252,09
Z - goodies;4,000;17,00;14,17

Statistiques Rayons
---------------------------------------------------------
Nom Rayon;Qté Articles;Total TTC;Marge
Bar;2158,000;12678,80;10658,23
En-cas;158,000;1595,50;1437,61
non consommable;4,000;17,00;14,17

Statistiques Caissiers
---------------------------------------------------------
Nom Caissier;Qté Articles;Nb Tickets;Total TTC;Marge
<Aucun>;2320,000;2160;14291,30;12110,01;0,00
