nom troupe,type spectacle
Régie à faire homme/femme,long form
Cours arbitrage anne,cours
Show sculpteur,autre
Ligue d'improvisation de la réunion -Improrun,international
Clown improvisé,clown
Poupak Armando diaz,tête d'affiche
The chimp,chanson improvisée
Les kikoos,long form
Non sens,cabaret
Improcondriaques,cabaret
Match 13alouest,match
Les incubés,cabaret
Entre deux,long form
Les cailles,match
Estelle lacrimosa,autre
Anim impro,long form
Cédric Casanova,long form
Impro erard,cabaret
Enregistrer master class Peter corser,KO
Le cartel - coma,long form
Hommes/femmes de sa vie,long form
Chantal guerande,cours
Puzzle! - Les conteurs éphémères?,cabaret
Hommes /femmes de sa vie,long form
Impro 2000,impro a l’américaine
Efit,cabaret
Club de l:'impro,scène ouverte
L'histoire dont on est le heros,long form
Soirée flamenco,flamenco
Les fritouplay,cabaret
Taka le liru,long form
Replikatous,long form
Cours Olivier amato,cours
Puzzle! - Les conteurs éphémères,cabaret
Keng-sam,tête d'affiche
Troupe Stéphane laine,cours
match lundi France quebec,match
La brigade,cabaret
Les dictateurs,long form
Café ole,cabaret
Masterclass nabla,cours
Match escalies le slip,match
Impro jam,scène ouverte
Impero musical,scène ouverte
Spectacle caspar,clown
Les enfants gâtés,cabaret
Taka le lieu,long form
Meng et mathilde,long form
Cours romuald,cours
Bonase comedy club,autre
Scène ouverte afila,scène ouverte
Le slip,cabaret
Impero,scène ouverte
Jessica quintin,cabaret
Jam,scène ouverte
Duos d'impri,long form
One man,autre
Demo jeu de société Fake news,autre
Le plongeon,cabaret
Fête des brassai,cabaret
Les chutes libres,match
Série b compagnie merlot,cabaret
Rasage sous bras visage cheveux,KO
Flamenco,flamenco
Préparer remplissage juillet. Stage + spectacle et fin tournoi catch,KO
Compagnie merlot,cabaret
Impro jam paname,scène ouverte
Le square,cabaret
Masterclasses Sergio gomez,cours
"Réveils\, les kikkos",long form
Impro musical,scène ouverte
Cours Romuald six,cours
Les mains bavardes\nLes écorcés,international
Les sans noms,long form
Impro errard ouverture,cabaret
Les instantanés,cabaret
soirée halloween,cabaret
spectacle masterclass,cours
les instantanés,cabaret
les clacks se barrent,cabaret
l'improviconteuse,long form
L'improviconteuse,long form
improfs,cabaret
So more chains+ Burn the day,concert
fermeture,KO
programme alice roblin,autre
MATCH pigallo Romains/ SLIP,match
En apparté\nLes Mégalops,cabaret
Taka - le lieu,long form
Impro d'enfert,cabaret
Concert Remember the light (Bar-bars),concert
14 Coffees,concert
Les enfants gatés,cabaret
les sans noms,long form
Les improvisades,match
Cabaret\nActe 2,cabaret
Concert Artypique,concert
activité Alice Roblin,autre
Duo guitares Jazz,concert
adela flamenco,flamenco
LA MACHINE\nMathieu Lepage\nThierry Bilisko,long form
Le Lieu\nles Taka,long form
Bonnets M\nCHUT !,cabaret
Cavistes&fromagers\nGrimass,match
improviconteuse,long form
Hermes Swing et jam,concert
réussite critique,long form
les enfants gâtés,cabaret
atelier débutant Karine,cours
cours Richard et réunion improvisades,cours
improvisades,match
smoking sofa,tête d'affiche
Les Mauvaises Graines,match
Impéro,scène ouverte
Camille Alb+No Sugar no milk+ hearscape,concert
MATCH PIGALLO VS DROLES DE CAILLES,match
match\nCavistes&fromagers,match
Duo Les EUX\nNabla & JM,tête d'affiche
Traits d’union,cabaret
carte blanche \nClackson,cabaret
Antr'Act,cabaret
Prepa: balance son,KO
Antr'Actr,cabaret
