"Heure";"Nb Ventes";"Montant Remises";"Marge Totale";"Chiffre d'Affaires";"Qté"
"00:00";30;0,00;316,34;376,80;54
"00:30";18;0,00;208,36;245,80;36
"01:00";13;0,00;175,40;210,50;26
"01:30";2;0,00;34,81;41,80;7
"02:00";1;0,00;4,83;5,80;1
"03:00";1;0,00;79,47;93,00;4
"14:00";4;0,00;40,01;44,00;6
"15:00";1;0,00;5,42;6,50;1
"15:30";13;0,00;51,02;58,80;13
"16:00";22;0,00;114,50;133,60;27
"16:30";14;0,00;69,61;81,20;15
"17:00";20;0,00;135,05;155,30;33
"17:30";24;0,00;161,53;189,60;38
"18:00";59;0,00;468,72;554,40;103
"18:30";90;0,00;593,43;694,80;129
"19:00";113;0,00;697,59;823,20;152
"19:30";104;0,00;780,81;926,60;151
"20:00";143;0,00;1209,29;1421,20;200
"20:30";140;0,00;1183,88;1390,80;214
"21:00";203;0,00;1696,68;2001,00;327
"21:30";126;0,00;1117,61;1317,50;200
"22:00";92;0,00;806,08;953,80;150
"22:30";87;0,00;760,16;904,10;146
"23:00";86;0,00;724,48;861,30;139
"23:30";73;0,00;603,78;713,70;119
