"Heure";"Nb Ventes";"Montant Remises";"Marge Totale";"Chiffre d'Affaires";"Qté"
"00:00";48;20,00;454,49;539,30;82
"00:30";23;0,00;259,28;308,20;54
"01:00";14;0,00;139,61;165,50;22
"01:30";10;0,00;78,72;93,60;18
"02:00";8;0,00;88,81;105,40;14
"02:30";2;0,00;21,25;25,50;3
"03:00";4;0,00;31,86;37,60;5
"03:30";4;0,00;121,03;140,90;22
"04:00";1;0,00;4,83;5,80;1
"04:30";2;0,00;9,97;11,50;2
"15:00";3;0,00;28,25;32,00;9
"15:30";1;0,00;1,82;2,00;1
"16:00";5;0,00;26,76;30,00;8
"16:30";15;0,00;93,68;110,00;24
"17:00";36;0,00;220,67;255,70;47
"17:30";23;0,00;183,32;217,90;36
"18:00";33;0,00;257,74;302,80;59
"18:30";78;0,00;536,22;630,30;116
"19:00";168;0,00;1251,65;1476,30;252
"19:30";183;0,00;1337,02;1569,50;249
"20:00";137;0,00;1603,88;1892,60;299
"20:30";172;0,00;1589,38;1863,90;291,5
"21:00";227;0,00;2071,93;2450,88;380,68
"21:30";150;0,00;1423,39;1678,63;282,82
"22:00";103;0,00;1002,04;1185,70;179
"22:30";89;0,00;950,12;1121,00;162
"23:00";106;0,00;1047,96;1237,20;185
"23:30";50;0,00;491,43;574,50;81
