"Heure";"Nb Ventes";"Montant Remises";"Marge Totale";"Chiffre d'Affaires";"Qté"
"00:00";32;0,00;262,05;313,00;46
"00:30";25;0,00;233,41;279,40;44
"01:00";19;0,00;269,65;320,70;47
"01:30";4;0,00;57,74;69,30;7
"02:00";1;0,00;10,41;12,50;2
"13:30";1;0,00;68,79;80,00;13
"15:00";2;0,00;23,12;26,00;4
"15:30";9;0,00;38,22;43,00;12
"16:00";15;0,00;69,99;79,20;21
"16:30";13;0,00;56,21;65,00;18
"17:00";34;0,00;216,73;253,70;54
"17:30";28;0,00;209,33;243,30;46
"18:00";70;0,00;392,20;457,60;98
"18:30";129;0,00;871,50;1022,20;198
"19:00";176;0,00;1108,92;1303,30;242
"19:30";177;0,00;1173,80;1386,50;247
"20:00";140;0,00;1165,29;1362,50;204
"20:30";193;0,00;1626,16;1911,80;306
"21:00";165;0,00;1367,67;1606,70;269
"21:30";118;0,00;1096,39;1300,20;207
"22:00";103;0,00;864,63;1028,50;166
"22:30";75;0,00;699,10;824,70;127
"23:00";74;0,00;659,84;780,50;120
"23:30";45;4,90;368,60;437,70;79
