"Heure";"Nb Ventes";"Montant Remises";"Marge Totale";"Chiffre d'Affaires";"Qté"
"00:00";29;0,00;291,97;345,50;50
"00:30";26;0,00;225,85;267,50;35
"01:00";16;0,00;186,06;220,70;33
"01:30";3;0,00;59,70;70,30;10
"13:30";4;0,00;26,49;30,50;6
"14:30";2;0,00;7,56;8,80;2
"15:30";2;0,00;13,63;15,80;4
"16:00";6;0,00;33,38;39,80;8
"16:30";16;0,00;79,50;91,50;22
"17:00";26;0,00;176,28;204,30;37
"17:30";25;0,00;133,89;155,80;31
"18:00";43;0,00;344,73;405,30;73
"18:30";79;0,00;525,51;622,10;112
"19:00";103;0,00;773,00;908,30;158
"19:30";107;0,00;877,55;1027,90;154
"20:00";118;0,00;995,80;1163,70;198
"20:30";147;0,00;1219,82;1438,80;237
"21:00";156;0,00;1225,55;1445,50;246
"21:30";105;0,00;818,57;970,60;159
"22:00";89;0,00;783,78;925,90;134
"22:30";121;0,00;1321,20;1553,50;254
"23:00";81;0,00;699,70;833,70;141
"23:30";57;0,00;543,84;643,00;98
