"Heure";"Nb Ventes";"Montant Remises";"Marge Totale";"Chiffre d'Affaires";"Qté"
"00:00";36;0,00;289,66;347,50;58
"00:30";12;0,00;159,68;188,90;23
"01:00";10;0,00;75,49;90,50;14
"01:30";7;0,00;236,50;280,90;42
"13:00";1;0,00;3,64;4,00;1
"13:30";5;0,00;29,87;34,00;8
"14:00";18;0,00;100,00;114,30;25
"14:30";3;0,00;16,82;20,00;4
"15:00";8;0,00;32,05;37,60;9
"15:30";9;0,00;62,47;72,30;17
"16:00";25;0,00;142,85;165,40;37
"16:30";25;0,00;165,99;195,40;39
"17:00";40;0,00;244,32;287,80;60
"17:30";33;0,00;168,37;199,40;44
"18:00";47;0,00;303,78;353,90;62
"18:30";56;0,00;448,91;533,60;98
"19:00";63;0,00;454,60;533,00;96
"19:30";84;0,00;548,41;646,40;112
"20:00";104;0,00;862,04;1009,70;169
"20:30";114;0,00;938,58;1108,70;188
"21:00";118;0,00;956,88;1131,30;185
"21:30";102;0,00;944,59;1110,20;178
"22:00";111;0,00;1028,32;1217,40;195
"22:30";69;0,00;453,32;540,20;94
"23:00";51;0,00;459,43;542,80;92
"23:30";46;0,00;361,26;430,30;71
